Intensity Vs Time, Counts Per Second
Time in Seconds ,Li7,Na23,Al27,K39,Ca43,Ti47,Fe57,Cu63,Zn66,P31,Cs133,La139,Ce140,Ta181,Au197,Pb208,Th232,Nb93,Pr141,Eu153,Tb159,Ho165,Er166,Tm169,Lu175,Rb85,Sr88,Y89,Mg24,Ba137,Hf178,Nd146,Zr90,Sm147,Gd157,Dy163,Yb172,Si29,S33,B11,V51,Se77,Mn55,Mo95,As75
21.141,0.,900.02835089305,0.,35844.913676837,100.00035000123,0.,300.00315003308,0.,0.,2700.255174114,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,87265.724129976,6701.5715185211,0.,0.,0.,900.02835089305,0.,0
21.87,0.,200.0014000098,0.,39554.684351115,0.,0.,200.0014000098,0.,0.,3800.5054672271,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,81934.291105416,6401.4339211983,0.,0.,0.,1500.0787541346,0.,0
22.599,0.,700.01715042019,200.0014000098,40356.923440513,100.00035000123,0.,300.00315003308,0.,0.,4800.806535498,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,84951.839728876,7702.0757094037,0.,100.00035000123,0.,900.02835089305,0.,0
23.328,0.,700.01715042019,100.00035000123,38953.034556549,500.00875015313,0.,300.00315003308,0.,0.,3800.5054672271,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,84448.870822313,6301.3894563751,0.,0.,0.,1400.0686033616,0.,0
24.057,0.,1100.0423516305,600.01260026461,43466.024891811,200.0014000098,200.0014000098,500.00875015313,20.00001400001,0.,6101.3026281111,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,100.00035000123,0.,0.,0.,0.,0.,0.,0.,0.,176483.43178774,6401.4339211983,0.,0.,0.,1700.1011560188,0.,100.0003500012
24.786,100.00035000123,1100.0423516305,1000.035001225,41961.536593414,200.0014000098,100.00035000123,300.00315003308,0.,80.000224000627,3700.479212058,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,236542.24840163,9403.0936178003,100.00035000123,0.,0.,1600.0896050179,0.,0
25.515,100.00035000123,900.02835089305,2500.2187691423,39855.518737601,500.00875015313,200.0014000098,100.00035000123,0.,20.00001400001,3000.3150330785,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,100.00035000123,0.,0.,0.,0.,0.,0.,0.,0.,454517.28618436,7501.9692669326,0.,100.00035000123,0.,1700.1011560188,0.,0
26.244,200.0014000098,600.01260026461,2900.2943798796,39153.581676524,100.00035000123,200.0014000098,300.00315003308,0.,20.00001400001,4100.5884344403,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,524660.68140713,6901.6667525207,0.,0.,0.,600.01260026461,0.,0
26.973,0.,200.0014000098,2600.2366215326,37950.341127506,400.0056000784,300.00315003308,100.00035000123,20.00001400001,0.,3700.479212058,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,100.00035000123,0.,0.,0.,0.,0.,0.,0.,0.,561834.98773854,5501.0589538486,0.,0.,0.,2300.1851649058,0.,0
27.702,200.0014000098,400.0056000784,2700.255174114,36546.688394424,0.,0.,300.00315003308,0.,20.00001400001,3600.4536571608,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,506212.65613058,7602.0221378887,0.,0.,0.,1600.0896050179,0.,100.0003500012
