C:\Agilent\ICPMH\1\DATA\User Batches\Tobias_F\Orogenic Gold\PAM_FI_16may17.b\16may17_a17.d
Intensity Vs Time,CPS
Acquired      : 17/05/2016 12:07:49 using Batch PAM_FI_16may17.b
Time [Sec],Li7,B11,Na23,Mg24,Si29,S32,Cl35,K39,Ca44,Ti49,Mn55,Fe57,Cu63,Zn66,As75,Br81,Rb85,Sr88,Ag107,Sb121,Cs133,Ba137,W182,Au197,Pb208
18.7777,0.00,0.00,8402.33,0.00,6801.53,111864.01,3350.37,10603.75,1000.03,0.00,2400.19,200.00,0.00,0.00,0.00,3300.37,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00
19.0747,0.00,0.00,8002.11,0.00,3800.48,106777.28,3500.41,13406.00,1800.11,0.00,2600.23,0.00,0.00,0.00,0.00,3050.32,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,200.00
19.3718,0.00,0.00,7401.81,0.00,4200.58,106827.64,3150.33,12605.30,1400.07,0.00,2600.23,400.01,0.00,0.00,0.00,3200.35,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
19.6688,0.00,0.00,9102.73,0.00,5400.97,110403.30,3700.46,11404.34,3000.30,0.00,2800.26,0.00,200.00,0.00,0.00,4000.55,0.00,0.00,50.00,200.00,0.00,0.00,0.00,50.00,0.00
19.9658,0.00,0.00,7601.91,0.00,6001.19,103353.52,3600.43,11604.49,1800.11,0.00,2600.23,0.00,0.00,0.00,0.00,2000.14,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00
20.2628,0.00,0.00,6601.44,0.00,4400.64,106374.45,3700.46,13606.18,2400.19,0.00,1800.11,200.00,0.00,0.00,0.00,3100.33,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00
20.5599,0.00,0.00,7501.86,0.00,4800.76,101591.59,4200.59,10803.89,2000.13,0.00,2200.16,200.00,0.00,0.00,0.00,2950.30,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
20.8569,0.00,0.00,7902.06,0.00,4800.76,105921.28,3300.36,12605.30,2600.23,0.00,2600.23,0.00,0.00,0.00,0.00,3000.31,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
21.1539,0.00,0.00,9603.04,0.00,5200.90,105317.05,3200.34,10203.47,4000.54,0.00,2800.26,0.00,0.00,0.00,0.00,3150.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.4509,0.00,0.00,8102.17,0.00,4400.64,112418.12,3250.35,14406.92,1200.05,0.00,1800.11,200.00,0.00,0.00,0.00,2850.28,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
21.7480,0.00,0.00,8702.50,0.00,5601.04,110101.10,3200.34,10403.61,2200.16,0.00,3000.30,200.00,0.00,0.00,200.00,3350.39,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
22.0450,0.00,0.00,8202.22,0.00,8002.12,112619.62,3450.40,10603.75,2600.23,200.00,2600.23,200.00,0.00,0.00,200.00,3450.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
22.3420,0.00,0.00,8002.11,0.00,4800.76,106273.74,3300.36,11404.34,2000.13,0.00,1200.05,400.01,0.00,0.00,0.00,2850.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
22.6390,0.00,0.00,7601.91,0.00,5200.90,108590.19,3500.41,10403.61,3000.30,0.00,2800.26,200.00,0.00,0.00,200.00,2500.21,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
22.9361,0.00,0.00,7701.96,0.00,5000.83,112619.62,4550.69,15007.51,2400.19,0.00,3400.39,0.00,0.00,0.00,200.00,3850.51,0.00,0.00,50.00,0.00,0.00,0.00,0.00,16.67,0.00
23.2331,0.00,0.00,8102.17,0.00,6801.53,108892.35,3650.44,12605.30,2200.16,0.00,3000.30,200.00,0.00,0.00,200.00,4000.55,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
23.5301,0.00,0.00,9502.98,0.00,5400.97,106072.33,3300.36,9202.83,1400.07,0.00,2800.26,0.00,0.00,0.00,0.00,2800.27,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
23.8272,0.00,0.00,8702.50,0.00,5000.83,108439.10,3600.43,10003.34,1800.11,0.00,2000.14,0.00,0.00,0.00,0.00,3600.45,0.00,0.00,100.00,400.01,0.00,0.00,0.00,0.00,0.00
24.1242,0.00,0.00,8002.11,0.00,3400.38,103605.24,3850.49,12204.97,1800.11,0.00,3000.30,200.00,0.00,0.00,0.00,2700.25,0.00,0.00,50.00,0.00,0.00,0.00,0.00,16.67,0.00
24.4212,0.00,200.00,10103.37,0.00,5000.83,111461.05,3650.44,17209.88,2000.13,0.00,3000.30,0.00,0.00,0.00,200.00,3000.31,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
24.7182,0.00,0.00,7802.01,0.00,5000.83,106173.03,2800.26,12805.47,2000.13,0.00,3400.39,0.00,0.00,0.00,200.00,3800.50,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
25.0152,0.00,0.00,10503.64,0.00,5200.90,100836.54,3400.38,9402.95,1800.11,0.00,4200.60,0.00,0.00,0.00,200.00,2400.20,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
25.3123,0.00,0.00,6801.53,0.00,5601.04,105317.05,4350.63,13205.82,3200.34,0.00,2600.23,200.00,0.00,0.00,0.00,3550.43,0.00,0.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00
25.6093,0.00,0.00,9002.67,0.00,5200.90,103202.49,2400.19,11804.65,1400.07,0.00,2200.16,200.00,0.00,0.00,0.00,2300.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25.9063,0.00,0.00,8302.27,0.00,4200.58,108288.01,3400.38,8402.36,3000.30,0.00,2000.14,0.00,0.00,0.00,0.00,3250.36,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
26.2034,0.00,0.00,7601.91,0.00,4200.58,109798.90,3850.49,11204.19,1400.07,0.00,2600.23,400.01,0.00,0.00,400.01,2750.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26.5004,0.00,0.00,8702.50,0.00,4600.70,104914.26,3650.44,10803.89,1400.07,0.00,800.02,0.00,0.00,0.00,0.00,3400.40,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
26.7974,0.00,0.00,9703.11,0.00,3800.48,105568.81,2750.25,10803.89,1000.03,0.00,2200.16,200.00,0.00,0.00,0.00,2650.24,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,400.01
27.0944,0.00,0.00,8602.44,0.00,5601.04,108086.58,2800.26,9803.21,2200.16,0.00,2200.16,200.00,0.00,0.00,200.00,3000.31,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
27.3914,200.00,0.00,7902.06,0.00,4000.53,111561.79,3600.43,13005.64,2000.13,0.00,3200.35,0.00,0.00,0.00,0.00,3450.41,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
27.6885,0.00,0.00,8602.44,0.00,3400.38,103353.52,3700.46,11804.65,2200.16,0.00,3200.35,0.00,0.00,0.00,0.00,2550.22,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
27.9855,0.00,0.00,8102.17,0.00,4000.53,107633.35,3750.47,13606.18,1000.03,0.00,3000.30,0.00,0.00,0.00,200.00,2850.28,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
28.2825,0.00,200.00,9603.04,0.00,5000.83,110957.35,3800.48,10203.47,2000.13,0.00,1400.07,800.02,0.00,0.00,0.00,2800.27,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
28.5795,0.00,0.00,7101.66,0.00,5000.83,106575.87,3750.47,10203.47,3800.48,0.00,2000.14,0.00,0.00,0.00,400.01,3300.37,0.00,0.00,150.00,0.00,0.00,0.00,0.00,16.67,0.00
28.8766,0.00,0.00,7401.81,0.00,5801.12,103907.31,3950.52,15007.51,3000.30,0.00,2000.14,200.00,0.00,0.00,0.00,2400.20,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
29.1736,0.00,0.00,7401.81,0.00,6601.44,112821.12,4050.55,13005.64,3600.43,0.00,2800.26,0.00,0.00,0.00,0.00,2500.21,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
29.4706,0.00,0.00,9202.79,0.00,4800.76,106525.51,3650.44,10603.75,1400.07,0.00,1600.09,0.00,0.00,0.00,400.01,3150.34,0.00,0.00,50.00,400.01,0.00,0.00,0.00,0.00,0.00
29.7676,0.00,0.00,6301.31,0.00,6001.19,105417.75,3600.43,13806.36,3000.30,0.00,1800.11,400.01,0.00,0.00,200.00,3050.32,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
30.0647,0.00,0.00,8002.11,0.00,5200.90,103705.93,3400.38,13406.00,1800.11,0.00,3200.35,200.00,0.00,0.00,200.00,2950.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30.3617,0.00,0.00,9302.85,0.00,5200.90,112670.00,3450.40,12004.81,3400.39,0.00,1600.09,0.00,0.00,0.00,0.00,3400.40,0.00,0.00,100.00,0.00,0.00,0.00,0.00,16.67,0.00
30.6587,0.00,200.00,8002.11,0.00,7201.72,107180.13,3100.32,11404.34,1200.05,0.00,1800.11,200.00,0.00,0.00,0.00,2950.30,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
30.9557,0.00,0.00,7802.01,0.00,4400.64,107683.70,3150.33,12605.30,1600.09,0.00,2600.23,400.01,0.00,0.00,0.00,3300.37,0.00,0.00,0.00,200.00,0.00,0.00,0.00,16.67,0.00
31.2528,0.00,0.00,7201.71,0.00,5601.04,109295.25,4150.57,12805.47,1800.11,0.00,1600.09,200.00,0.00,200.00,200.00,2900.29,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
31.5498,0.00,0.00,7601.91,0.00,2800.26,107180.13,3350.37,13806.36,1800.11,0.00,2200.16,0.00,0.00,0.00,200.00,2900.29,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00
31.8468,0.00,0.00,5901.15,0.00,5000.83,113022.62,3800.48,13005.64,3600.43,0.00,4200.60,200.00,0.00,0.00,0.00,3550.43,0.00,0.00,150.00,400.01,0.00,0.00,0.00,0.00,0.00
32.1438,0.00,0.00,8602.44,0.00,6001.19,105719.86,3850.49,9803.21,4200.59,0.00,1800.11,400.01,0.00,0.00,0.00,2700.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00
32.4409,0.00,0.00,8202.22,0.00,4200.58,103856.96,4550.69,12405.13,2400.19,0.00,3000.30,0.00,0.00,0.00,200.00,2650.24,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
32.7379,0.00,0.00,8002.11,0.00,6001.19,109295.25,4050.55,10403.61,3000.30,0.00,2000.14,400.01,0.00,0.00,200.00,2400.20,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
33.0349,0.00,0.00,8602.44,0.00,5200.90,105971.62,3700.46,12605.30,1600.09,0.00,1400.07,200.00,0.00,0.00,200.00,3150.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33.3319,0.00,0.00,9903.24,0.00,8202.23,107180.13,3150.33,9803.21,2200.16,0.00,3600.44,0.00,0.00,0.00,400.01,3050.32,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
33.6290,0.00,0.00,9502.98,0.00,4000.53,114080.55,3550.42,11204.19,1200.05,0.00,1800.11,0.00,0.00,0.00,0.00,4050.56,0.00,0.00,100.00,0.00,0.00,0.00,0.00,16.67,0.00
33.9260,0.00,0.00,7401.81,0.00,4400.64,105317.05,3850.49,10803.89,1800.11,0.00,2600.23,0.00,0.00,0.00,200.00,3200.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34.2230,0.00,0.00,9102.73,0.00,5000.83,105417.75,3100.32,12605.30,2600.23,0.00,2600.23,200.00,0.00,200.00,200.00,3100.33,0.00,0.00,50.00,0.00,200.00,0.00,0.00,0.00,0.00
34.5201,0.00,0.00,8502.38,0.00,6201.27,106173.03,2850.27,12405.13,1400.07,0.00,1800.11,200.00,0.00,0.00,0.00,3150.34,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
34.8171,0.00,0.00,8102.17,0.00,3200.34,107985.86,3750.47,10803.89,2400.19,0.00,1800.11,0.00,0.00,0.00,0.00,3950.54,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
