Acquisition date,24/08/21,,,,,,,,,,,,,,
Acquisition time,10:56:04,,,,,,,,,,,,,,
Time,Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
21.3468,100,0,50,197325.76,2900.29,70470.51,100,150,13706.58,10754.05,50,0,1700.1,0,550.01
21.6468,100,0,100,202090.33,1400.07,73083.37,250,0,14307.16,10303.72,150,0,1550.09,50,550.01
21.9468,150,0,0,190232.46,1100.04,70370.02,100,100,14307.16,12355.35,0,0,1450.07,200,550.01
22.2469,50,0,50,199961.28,2000.14,72882.36,50,250,12555.52,11204.4,50,0,1050.04,50,650.02
22.5469,150,0,100,201482.01,1800.11,72580.85,50,200,15007.88,11604.72,0,50,800.02,0,300
22.8469,200,0,200,198542.1,1300.06,75998.27,250,50,14207.06,10153.61,0,0,1000.04,100,450.01
23.1469,400.01,0,250,199048.93,2000.14,69767.13,100,100,13356.24,10603.94,0,0,1250.06,0,550.01
23.4469,250,0,150,190840.32,2100.15,78008.88,50,100,13156.06,9803.37,0,0,1200.05,50,550.01
23.7469,200,0,450.01,209189.36,1800.11,69767.13,200,150,14207.06,11704.8,0,0,1450.07,100,400.01
24.047,250,0,50,200062.66,1400.07,69767.13,50,100,14857.73,11804.88,50,0,900.03,100,700.02
24.347,300,0,100,200569.56,1700.1,69264.73,100,100,13856.72,11854.93,50,0,1250.06,0,550.01
24.647,350,0,100,204422.49,1800.11,69767.13,100,250,13606.48,11154.36,50,0,1250.06,100,250
24.947,250,50,100,203915.47,1700.1,75696.7,50,0,12855.78,10353.76,50,0,1050.04,50,650.02
25.247,100,0,50,196109.52,1800.11,75194.1,100,100,14157.01,11004.24,50,0,1700.1,0,400.01
25.547,250,50,100,202394.49,2200.17,76098.79,50,200,14207.06,10053.54,50,0,1300.06,50,500.01
25.847,150,0,150,200670.94,2000.14,74088.44,100,150,13606.48,11604.72,50,50,1850.12,0,400.01
26.1471,400.01,0,150,199555.79,1700.1,72178.86,50,0,13656.53,11104.32,50,0,900.03,100,250
26.4471,50,0,0,207262.13,2200.17,72882.36,0,100,15658.58,10704.02,150,0,1100.04,0,400.01
26.7471,150,0,50,197528.48,1300.06,75696.7,100,0,13506.38,12255.26,0,0,1550.09,0,400.01
27.0471,150,0,0,200569.56,1500.08,72982.86,250,250,14307.16,10203.65,100,50,1000.04,200,650.02
27.3471,250,0,100,197629.83,1000.03,71073.43,50,0,14106.97,11354.52,50,0,1250.06,50,450.01
27.6471,300,0,150,202495.9,2000.14,73887.42,50,200,13055.97,10854.13,150,0,1400.07,0,300
27.9471,400.01,0,50,197832.54,2400.2,74088.44,50,0,13456.34,12405.39,0,0,1200.05,0,450.01
28.2472,350,0,150,200468.18,1100.04,72781.86,100,100,13306.2,11854.93,0,0,1050.04,50,750.02
28.5472,300,0,100,201684.78,2700.25,74088.44,0,100,14257.12,10954.21,50,0,1250.06,50,350
28.8472,350,0,200,199657.15,2700.25,69164.25,300,150,14207.06,10854.13,50,0,1100.04,50,450.01
29.1472,300,0,50,196514.93,2200.17,71676.39,200,50,14257.12,12105.14,100,0,1300.06,200,500.01
29.4472,300,0,100,200366.8,2800.27,77305.13,100,50,14457.32,11554.68,0,0,1150.05,0,750.02
29.7472,250,0,50,199758.53,1800.11,71274.41,150,150,13356.24,11004.24,0,0,1150.05,50,650.02
30.0473,200,0,100,202394.49,1600.09,71877.37,0,50,14757.62,12055.09,200,0,1350.06,150,750.02
30.3473,100,0,50,200975.07,2900.29,71776.88,0,100,14307.16,10503.87,0,0,1000.04,50,400.01
30.6473,500.01,0,100,192866.71,1600.09,73686.4,0,150,13906.77,10754.05,0,0,1350.06,50,450.01
30.9473,350,0,50,192866.71,1100.04,78008.88,100,450.01,15608.53,10203.65,50,0,1400.07,0,700.02
31.2473,200,50,100,195298.74,2200.17,76098.79,50,50,14807.67,10954.21,100,0,1500.08,50,150
31.5473,500.01,0,0,194082.68,2300.18,73585.89,0,100,15007.88,11154.36,50,0,1550.09,50,500.01
