D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a23.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 13:01:03 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
4.5989,1000.03,0.00,18511.74,0.00,500.01,17510.55,2000.14,2250.17,1000.03,35042.50,500.01,3000.31,0.00,0.00,0.00,2000.14,71177.08,1000.04,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.7790,1500.08,0.00,13506.25,0.00,1000.03,12004.96,1500.08,2000.14,2000.14,36044.96,0.00,4500.70,0.00,0.00,0.00,4000.56,56612.08,1000.04,0.00,0.00,0.00,0.00,1000.04,500.01,0.00,0.00,0.00,0.00,0.00,2000.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.9590,500.01,0.00,20013.72,0.00,0.00,10503.80,1500.08,500.01,2000.14,31534.42,500.01,5000.87,0.00,0.00,0.00,3000.32,66655.32,500.01,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,500.01,250.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.1391,500.01,0.00,24019.76,0.00,0.00,13005.82,2500.22,750.02,750.02,38050.10,0.00,5000.87,0.00,0.00,0.00,1500.08,80727.71,2000.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.3191,2000.14,0.00,20013.72,0.00,1000.03,17510.55,1000.03,1500.08,1750.11,36546.22,0.00,5000.87,0.00,0.00,0.00,1000.04,71177.08,1500.08,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.4991,0.00,0.00,21515.86,0.00,500.01,10503.80,1000.03,2250.17,2500.22,37548.79,1000.03,6001.25,0.00,0.00,0.00,4500.71,74192.38,1000.04,0.00,0.00,0.00,0.00,250.00,500.01,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.6792,1000.03,0.00,21015.13,0.00,500.01,12004.96,1000.03,1250.05,1250.05,39052.77,500.01,4500.70,0.00,0.00,0.00,4000.56,64143.84,2000.14,0.00,0.00,0.00,500.01,500.01,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00
5.8592,1000.03,0.00,15508.24,0.00,500.01,12004.96,3000.31,3000.31,1250.05,32536.64,500.01,4500.70,500.01,0.00,0.00,1000.04,66152.99,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.0393,1500.08,0.00,20514.42,0.00,1000.03,8002.20,1000.03,1500.08,750.02,33538.93,0.00,4500.70,1000.03,0.00,500.01,4000.56,71177.08,1000.04,0.00,500.01,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.2193,1000.03,0.00,23518.95,0.00,0.00,8502.49,3000.31,750.02,2500.22,38551.43,500.01,8002.23,0.00,0.00,0.00,4000.56,65650.68,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
