D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a24.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 13:06:06 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
4.2390,500.01,0.00,20013.72,0.00,1000.03,9503.11,1500.08,1000.03,1500.08,38050.10,0.00,4500.70,0.00,0.00,0.00,3000.32,66152.99,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.4190,500.01,0.00,20514.42,0.00,0.00,12505.38,1500.08,2750.26,1500.08,34040.10,0.00,5501.05,0.00,0.00,0.00,1500.08,62134.99,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,500.01,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.5991,0.00,0.00,20514.42,0.00,1000.03,7501.94,1500.08,750.02,500.01,31033.33,0.00,4500.70,500.01,0.00,0.00,3000.32,69167.24,500.01,0.00,0.00,0.00,500.01,750.02,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.7791,1500.08,0.00,23518.95,0.00,0.00,6501.45,3000.31,1250.05,1750.11,43064.16,0.00,5501.05,0.00,0.00,0.00,1500.08,78716.52,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.9591,0.00,0.00,14507.21,0.00,0.00,8002.20,1500.08,2250.17,750.02,39052.77,0.00,3500.43,0.00,0.00,0.00,1500.08,74694.99,0.00,0.00,0.00,0.00,500.01,0.00,500.01,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.1392,500.01,0.00,24019.76,0.00,0.00,12004.96,500.01,1750.11,1750.11,34541.29,500.01,3000.31,0.00,0.00,0.00,1500.08,69669.66,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.3192,500.01,500.01,20514.42,0.00,500.01,9503.11,1000.03,2000.14,1000.03,29029.17,0.00,3500.43,0.00,0.00,0.00,4000.56,70674.59,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.4993,1000.03,0.00,20514.42,0.00,500.01,9503.11,2500.22,1250.05,1750.11,42562.68,500.01,4000.56,0.00,0.00,0.00,3000.32,59624.31,500.01,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.6793,2500.21,0.00,14006.72,0.00,0.00,13005.82,2500.22,2250.17,2000.14,35543.72,0.00,5000.87,0.00,0.00,0.00,2500.22,58620.16,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.8594,500.01,0.00,18511.74,0.00,0.00,12004.96,2500.22,1500.08,750.02,30031.22,0.00,3500.43,0.00,0.00,0.00,3000.32,66655.32,500.01,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00
